Product Title,Final Price,Reduction?,Price Without Reduction,URL Product,URL Image,Stock Status
Billecart Salmon Cuvee Elisabeth Brut Rose 2008-BP_480809,2080,no,,https://www.watsonswine.com/en/wine/billecart-salmon-cuvee-elisabeth-brut-rose-2008/p/BP_480809,https://www.watsonswine.com/medias/sys_master/front/prd/8996418912286.png,In Stock
Krug Grande Cuvee 169eme Edition-BP_483807,1490,yes,1790,https://www.watsonswine.com/en/wine/krug-grande-cuvee-169eme-edition/p/BP_483807,https://www.watsonswine.com/medias/sys_master/front/prd/8848068214814.jpg,In Stock
Pierre Paillard Les Terres Roses Bouzy Grand Cru NV-BP_486442,568,no,,https://www.watsonswine.com/en/wine/pierre-paillard-les-terres-roses-bouzy-grand-cru-nv/p/BP_486442,https://www.watsonswine.com/medias/sys_master/front/prd/8950838198302.png,In Stock
G. H. Mumm Grand Cordon Rose NV-BP_480402,485,no,,https://www.watsonswine.com/en/wine/g-h-mumm-grand-cordon-rose-nv/p/BP_480402,https://www.watsonswine.com/medias/sys_master/front/prd/8829139910686.jpg,In Stock
Taittinger Brut Reserve NV FIFA World Cup Edition-BP_108415,520,no,,https://www.watsonswine.com/en/wine/taittinger-brut-reserve-nv-fifa-world-cup-edition/p/BP_108415,https://www.watsonswine.com/medias/sys_master/front/prd/9018361774110.png,In Stock
Nicolas Feuillatte Brut Reserve NV-BP_117645,428,no,,https://www.watsonswine.com/en/wine/nicolas-feuillatte-brut-reserve-nv/p/BP_117645,https://www.watsonswine.com/medias/sys_master/front/prd/8941861830686.png,In Stock
Cattier Blanc de Blancs Premier Cru Brut NV-BP_117254,480,yes,605,https://www.watsonswine.com/en/wine/cattier-blanc-de-blancs-premier-cru-brut-nv/p/BP_117254,https://www.watsonswine.com/medias/sys_master/front/prd/9018241024030.png,In Stock
Cattier Brut Premier Cru NV-BP_117313,395,no,,https://www.watsonswine.com/en/wine/cattier-brut-premier-cru-nv/p/BP_117313,https://www.watsonswine.com/medias/sys_master/front/prd/8995350347806.png,In Stock
Le Brun de Neuville Autolysis Blanc de Blancs NV-BP_333234,750,no,,https://www.watsonswine.com/en/wine/le-brun-de-neuville-autolysis-blanc-de-blancs-nv/p/BP_333234,https://www.watsonswine.com/medias/sys_master/front/prd/8875637800990.png,In Stock
Gosset Celebris Extra Brut 2007 (With Gift Box)-BP_347554,1280,no,,https://www.watsonswine.com/en/wine/gosset-celebris-extra-brut-2007-with-gift-box-/p/BP_347554,https://www.watsonswine.com/medias/sys_master/front/prd/8944637804574.png,In Stock
Henriot Brut Rose NV-BP_390526,680,no,,https://www.watsonswine.com/en/wine/henriot-brut-rose-nv/p/BP_390526,https://www.watsonswine.com/medias/sys_master/front/prd/8994840084510.png,In Stock
Cattier Brut Premier Cru 2009-BP_341613,590,yes,695,https://www.watsonswine.com/en/wine/cattier-brut-premier-cru-2009/p/BP_341613,https://www.watsonswine.com/medias/sys_master/front/prd/8888028135454.png,In Stock
